,0,0,0,0,0,0,0,#,#,?0,
weapon_assault,none,39,38,35,40,0,30,#hash_34b9c2282a63d5dc,#ar_standard_t9,?0,200
weapon_attachment,elo,3,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,elo2,3,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,reflex,4,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,reflex2,4,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,reflex3,4,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,reddot,5,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,holo,5,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,acog,6,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,scope3x,8,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,scope4x,10,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,dualoptic,12,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,ir,14,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,barrel,0,10,0,-5,0,0,#,#ar_standard_t9,?0,
weapon_attachment,barrel2,0,7,0,-8,0,0,#,#ar_standard_t9,?0,
weapon_attachment,compensator,5,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,compensator2,8,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,extclip,0,0,7,0,0,15,#,#ar_standard_t9,?0,
weapon_attachment,extclip2,0,0,11,-7,0,15,#,#ar_standard_t9,?0,
weapon_attachment,fastreload,0,0,7,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,fastreload2,0,0,9,3,0,0,#,#ar_standard_t9,?0,
weapon_attachment,grip,6,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,grip2,10,0,0,-7,0,0,#,#ar_standard_t9,?0,
weapon_attachment,handle,10,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,handle2,8,0,0,8,0,0,#,#ar_standard_t9,?0,
weapon_attachment,heavy,0,6,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,heavy2,0,5,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,light,0,0,5,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,light2,0,0,10,-8,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixbarrel,0,8,0,-10,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixbarrel2,-10,11,-5,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixbody,0,0,13,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixbody2,10,0,8,-10,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixclip,0,0,6,0,0,5,#,#ar_standard_t9,?0,
weapon_attachment,mixclip2,0,0,12,-6,0,5,#,#ar_standard_t9,?0,
weapon_attachment,mixhandle,6,0,0,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixhandle2,10,0,0,10,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixmuzzle,0,0,5,0,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixmuzzle2,9,0,4,-5,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixstock,0,0,0,5,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixstock2,-10,0,0,14,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixunder,0,0,0,6,0,0,#,#ar_standard_t9,?0,
weapon_attachment,mixunder2,6,0,0,7,0,0,#,#ar_standard_t9,?0,
weapon_attachment,quickdraw,0,0,0,5,0,0,#,#ar_standard_t9,?0,
weapon_attachment,quickdraw2,0,0,0,9,0,0,#,#ar_standard_t9,?0,
weapon_attachment,speedgrip,0,5,0,8,0,0,#,#ar_standard_t9,?0,
