0,,#hash_76699b46353438f6,#hash_d48e5f30cecb510,#legendary,0,0,#season_1,#glint,0
0,,#hash_64afeb627a8ae846,#hash_d48e5f30cecb510,#legendary,0,0,#season_1,#glint,0
0,,#hash_7bedcd40b40e935d,#hash_d48e5f30cecb510,#rare,0,0,#season_1,#glint,0
0,,#hash_39eba4f889a0919e,#hash_d48e5f30cecb510,#epic,0,0,#season_1,#glint,0
0,,#hash_e7499d2a05fb8cc,#hash_d48e5f30cecb510,#legendary,0,0,#season_1,#glint,0
0,,#hash_f51d84327b28c16,#hash_d48e5f30cecb510,#legendary,0,0,#season_1,#glint,0
1,,#hash_393ac34315a4be00,#hash_d48e5f30cecb510,#epic,0,1,#,#,0
2,,#hash_7f39f3c2811a03bc,#hash_d48e5f30cecb510,#epic,0,0,#,#,0
3,,#hash_50f7c40384c7d7dc,#hash_d48e5f30cecb510,#legendary,0,0,#,#,0
4,,#hash_3ffea0b73a14d91e,#hash_d48e5f30cecb510,#rare,0,0,#,#,0
5,,#hash_5be69cc623f0a9ed,#hash_d48e5f30cecb510,#legendary,0,0,#,#glint,0
6,,#hash_359f2ee0e8cb35e3,#currency,#legendary,0,2,#,#,0
7,,#hash_466ae2e968481c13,#hash_d48e5f30cecb510,#legendary,0,0,#,#,0
8,,#hash_4a11730ff02c8f9c,#hash_d48e5f30cecb510,#legendary,0,0,#,#,90080
8,,#hash_7f39f1c2811a0056,#hash_6e2e66060a72f89c,#rare,0,0,#,#,90080
9,,#hash_1258c53760d4c62a,#hash_d48e5f30cecb510,#legendary,0,0,#,#,0
10,,#hash_1a98fec5b4f201a5,#hash_d48e5f30cecb510,#rare,0,0,#,#glint,0
11,,#hash_449720dd6e6fa86f,#hash_d48e5f30cecb510,#rare,0,2,#,#,0
12,,#hash_359f2ee0e8cb35e3,#currency,#legendary,0,0,#,#,0
13,,#hash_50f7c40384c7d7dc,#hash_d48e5f30cecb510,#legendary,0,0,#,#,0
14,,#hash_35acb9b93189fd56,#hash_d48e5f30cecb510,#rare,0,0,#,#,0
