0,29184728,#hash_2ada34abd8b93c17,#character_outfit,#legendary,0,0,#season_3,#glint,0
0,32434283,#hash_20f858726e842619,#character_outfit,#rare,0,0,#,#glint,0
0,29363868,#wristaccessory_t9_s3_analog_winter_ash,#hash_c70e59dba98cf81,#epic,0,0,#,#,0
0,28737785,#hash_58faf4c5eb12b9af,#hash_d48e5f30cecb510,#legendary,0,0,#,#,0
1,31495321,#hash_1237f2618bdcda4e,#sticker,#rare,0,1,#,#,0
2,22807043,#hash_20519c49346aec50,#calling_card,#epic,0,0,#,#,0
3,19262075,#weapon_xp_token_legendary,#hash_7c692b8eb31f67eb,#legendary,0,0,#,#,0
4,27091265,#t9_charm_icbm,#charm,#rare,0,0,#,#,0
5,26617111,#hash_2bd6218edc99a457,#blueprint,#legendary,0,0,#,#glint,0
6,,#hash_7bb2d755872a5be5,#currency,#legendary,0,1,#,#,0
7,32109261,#player_xp_token_legendary,#hash_7c692b8eb31f67eb,#legendary,0,0,#,#,0
8,26950815,#hash_39bf38f89c5aba2d,#hash_27fcf589ae53da66,#rare,0,0,#,#,9
8,,#hash_70d9ea801c1f29d8,#hash_6e2e66060a72f89c,#rare,0,0,#,#,9
9,22380127,#hash_2da785630d9b848c,#emblem,#legendary,0,0,#,#,0
10,25410064,#hash_7ea4490c3595163a,#character_outfit,#rare,0,0,#,#glint,0
11,30721568,#hash_99b5c351c8705bc,#sticker,#rare,0,0,#,#,0
12,,#hash_7bb2d755872a5be5,#currency,#legendary,0,0,#,#,0
13,19262075,#weapon_xp_token_legendary,#hash_7c692b8eb31f67eb,#legendary,0,0,#,#,0
14,23111756,#reticle_86,#reticle,#rare,0,0,#,#,0
15,32959692,#smg_spray_t9,#weapon,#base,0,1,#season_3,#glint,0
16,19746222,#loot_ges_mtx_t9_snap,#gesture,#epic,0,0,#,#,0
17,,#hash_7bb2d755872a5be5,#currency,#legendary,0,0,#,#,0
18,26464392,#hash_42a47c25e2096556,#blueprint,#epic,0,0,#,#glint,0
19,18221668,#execution_014,#execution,#legendary,0,0,#,#,0
20,24557050,#hash_4c0c61e50e09d84d,#character_outfit,#rare,0,0,#,#glint,0
21,18411411,#hash_2be473f2554aa34f,#blueprint,#legendary,0,1,#,#glint,0
22,20181455,#player_xp_token_epic,#hash_7c692b8eb31f67eb,#epic,0,0,#,#,0
23,,#hash_7bb2d755872a5be5,#currency,#legendary,0,0,#,#,0
