1,#hash_407c4dccb14b6bbb,0,5000,false,#,#,#,#hash_2cd59912b48ac03b,#
2,#hash_6a8c2591a2babf85,5000,5000,false,#weapon_assault,#item_stats,#hash_14b7133a39a0456e,#hash_22bdc91b7a279c05,#
3,#hash_6a8c2591a2babf85,5000,5000,false,#weapon_tactical,#item_stats,#hash_14b7133a39a0456e,#hash_22bdc91b7a279c05,#
4,#hash_6a8c2591a2babf85,5000,5000,false,#weapon_sniper,#item_stats,#hash_14b7133a39a0456e,#hash_22bdc91b7a279c05,#
5,#hash_6a8c2591a2babf85,5000,5000,false,#weapon_lmg,#item_stats,#hash_14b7133a39a0456e,#hash_22bdc91b7a279c05,#
6,#hash_6a8c2591a2babf85,5000,5000,false,#weapon_smg,#item_stats,#hash_14b7133a39a0456e,#hash_22bdc91b7a279c05,#
7,#hash_6a8c2591a2babf85,5000,5000,false,#weapon_cqb,#item_stats,#hash_14b7133a39a0456e,#hash_22bdc91b7a279c05,#
8,#hash_6a8c2591a2babf85,5000,5000,false,#weapon_pistol,#item_stats,#hash_14b7133a39a0456e,#hash_22bdc91b7a279c05,#
9,#hash_6a8c2591a2babf85,2500,5000,false,#weapon_knife,#item_stats,#hash_49b586d05aaa0209,#hash_22bdc91b7a279c05,#
10,#hash_6a8c2591a2babf85,2500,5000,false,#weapon_special,#item_stats,#hash_14b7133a39a0456e,#hash_22bdc91b7a279c05,#
11,#hash_6a8c2591a2babf85,2500,5000,false,#weapon_launcher,#item_stats,#hash_14b7133a39a0456e,#hash_22bdc91b7a279c05,#
12,#expert,35,5000,false,#,#item_stats,#challenges,#hash_6803f028023d1bf1,#
