0,camo,weaponoption,#mpui/none,camo_none,0,#menu_cac_none,#mpui/none,#,,0,0,,0,0,0,1000,,,false,,#,,#,#camo_none
1,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
2,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
3,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
4,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
5,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
6,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
7,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
8,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
9,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
10,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
11,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
12,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
13,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
14,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
15,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
16,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
17,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
18,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
19,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
20,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
21,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
22,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
23,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
24,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
25,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
26,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
27,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
28,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
29,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
30,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
31,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
32,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
33,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
34,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
35,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
36,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
37,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
38,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
39,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
40,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
41,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
42,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
43,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
44,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
45,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
46,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
47,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
48,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
49,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
50,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
51,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
52,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
53,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
54,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
55,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
56,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
57,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
58,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
59,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
60,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
61,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
62,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
